Model,Fold,TP,TN,FP,FN,Accuracy,Precision,Sensitivity,Specificity,F1 Score,Elapsed Time (s),Usage (s),Estimated Usage (s),Num Qubits,Median T1,Median T2,Median Read Out Error
SVC_high_low_2D,1,259,113,138,9,0.7167630057803468,0.7848264284798742,0.7167630057803468,0.450199203187251,0.6952568857249821,0.2585279941558838,0,0,0,0,0,0
SVC_high_low_2D,2,256,131,119,13,0.7456647398843931,0.7920383215585528,0.7456647398843931,0.524,0.7323834467429713,0.24902701377868652,0,0,0,0,0,0
SVC_high_low_2D,3,258,141,109,11,0.7687861271676301,0.8112026238281597,0.7687861271676301,0.564,0.7584169891083354,0.2433631420135498,0,0,0,0,0,0
SVC_high_low_2D,4,258,128,122,11,0.74373795761079,0.795477205093242,0.74373795761079,0.512,0.7290907001267575,0.2358379364013672,0,0,0,0,0,0
SVC_high_low_2D,5,257,135,115,11,0.7567567567567568,0.8036967590657382,0.7567567567567568,0.54,0.7445792383292383,0.23951125144958496,0,0,0,0,0,0
SVC_high_low_2D,6,254,135,115,14,0.750965250965251,0.7934112584628218,0.750965250965251,0.54,0.7391887585228079,0.23468399047851562,0,0,0,0,0,0
SVC_high_low_2D,7,259,125,125,9,0.7413127413127413,0.799168671603373,0.7413127413127413,0.5,0.7252522433695746,0.24516701698303223,0,0,0,0,0,0
SVC_high_low_2D,8,259,123,127,9,0.7374517374517374,0.7968694587865572,0.7374517374517374,0.492,0.720586636192573,0.23694300651550293,0,0,0,0,0,0
SVC_high_low_2D,9,259,102,148,9,0.696911196911197,0.7727320159752593,0.696911196911197,0.408,0.6697672266647337,0.23383498191833496,0,0,0,0,0,0
SVC_high_low_2D,10,258,129,121,10,0.747104247104247,0.800101125892208,0.747104247104247,0.516,0.7327162499581773,0.23936200141906738,0,0,0,0,0,0
SVC_high_low_2D_retrained,3_retrained,259,103,147,9,0.6988416988416989,0.7738923388553931,0.6988416988416989,0.412,0.6722693432039794,0.24323797225952148,0,0,0,0,0,0
SVC_high_low_3D,1,259,113,138,9,0.7167630057803468,0.7848264284798742,0.7167630057803468,0.450199203187251,0.6952568857249821,0.29699206352233887,0,0,0,0,0,0
SVC_high_low_3D,2,256,131,119,13,0.7456647398843931,0.7920383215585528,0.7456647398843931,0.524,0.7323834467429713,0.29802703857421875,0,0,0,0,0,0
SVC_high_low_3D,3,258,141,109,11,0.7687861271676301,0.8112026238281597,0.7687861271676301,0.564,0.7584169891083354,0.2999908924102783,0,0,0,0,0,0
SVC_high_low_3D,4,258,128,122,11,0.74373795761079,0.795477205093242,0.74373795761079,0.512,0.7290907001267575,0.26577305793762207,0,0,0,0,0,0
SVC_high_low_3D,5,257,135,115,11,0.7567567567567568,0.8036967590657382,0.7567567567567568,0.54,0.7445792383292383,0.30059099197387695,0,0,0,0,0,0
SVC_high_low_3D,6,254,135,115,14,0.750965250965251,0.7934112584628218,0.750965250965251,0.54,0.7391887585228079,0.29949402809143066,0,0,0,0,0,0
SVC_high_low_3D,7,259,125,125,9,0.7413127413127413,0.799168671603373,0.7413127413127413,0.5,0.7252522433695746,0.296921968460083,0,0,0,0,0,0
SVC_high_low_3D,8,259,123,127,9,0.7374517374517374,0.7968694587865572,0.7374517374517374,0.492,0.720586636192573,0.2715950012207031,0,0,0,0,0,0
SVC_high_low_3D,9,259,102,148,9,0.696911196911197,0.7727320159752593,0.696911196911197,0.408,0.6697672266647337,0.28891897201538086,0,0,0,0,0,0
SVC_high_low_3D,10,258,129,121,10,0.747104247104247,0.800101125892208,0.747104247104247,0.516,0.7327162499581773,0.2591128349304199,0,0,0,0,0,0
SVC_high_low_3D_retrained,3_retrained,259,102,148,9,0.696911196911197,0.7727320159752593,0.696911196911197,0.408,0.6697672266647337,0.29961085319519043,0,0,0,0,0,0
SVC_high_low_4D,1,258,165,86,10,0.815028901734104,0.8432700247729149,0.815028901734104,0.6573705179282868,0.8100142659576789,0.17676711082458496,0,0,0,0,0,0
SVC_high_low_4D,2,256,183,67,13,0.8458574181117534,0.8605387393777103,0.8458574181117534,0.732,0.843556068056444,0.17767715454101562,0,0,0,0,0,0
SVC_high_low_4D,3,258,184,66,11,0.8516377649325626,0.8672468971120224,0.8516377649325626,0.736,0.8493495170339534,0.18198704719543457,0,0,0,0,0,0
SVC_high_low_4D,4,258,175,75,11,0.8342967244701349,0.8547773953330545,0.8342967244701349,0.7,0.8309431637108361,0.1744680404663086,0,0,0,0,0,0
SVC_high_low_4D,5,257,172,78,11,0.8281853281853282,0.8505264046247653,0.8281853281853282,0.688,0.8244377667010462,0.17630887031555176,0,0,0,0,0,0
SVC_high_low_4D,6,254,183,67,14,0.8436293436293436,0.8577139147374927,0.8436293436293436,0.732,0.8413943995580486,0.1885972023010254,0,0,0,0,0,0
SVC_high_low_4D,7,257,175,75,11,0.833976833976834,0.8545808592446759,0.833976833976834,0.7,0.8306462163342898,0.1835927963256836,0,0,0,0,0,0
SVC_high_low_4D,8,259,188,62,9,0.862934362934363,0.8780220855746259,0.862934362934363,0.752,0.8609753378842154,0.17832589149475098,0,0,0,0,0,0
SVC_high_low_4D,9,259,180,70,9,0.8474903474903475,0.8669381496129216,0.8474903474903475,0.72,0.8446861060269789,0.17689800262451172,0,0,0,0,0,0
SVC_high_low_4D,10,258,176,74,10,0.8378378378378378,0.8587339768839963,0.8378378378378378,0.704,0.8345846764195388,0.17981696128845215,0,0,0,0,0,0
SVC_high_low_4D_retrained,8_retrained,259,165,86,9,0.8169556840077071,0.8462648251981909,0.8169556840077071,0.6573705179282868,0.8118702804604383,0.17838311195373535,0,0,0,0,0,0
