Hardware,Dimension,TP,TN,FP,FN,Accuracy,Precision,Sensitivity,Specificity,F1 Score,Elapsed Time (s),Usage (s),Estimated Usage (s),Num Qubits,Median T1,Median T2,Median Read Out Error
ibm_brisbane,2.0,0.0,46.0,0.0,54.0,0.46,0.0,0.0,1.0,0.0,121.83267569541931,4.912659,,127.0,6.167945014293187e-05,6.167945014293187e-05,0.030625230684055118
ibm_brisbane,3.0,0.0,46.0,0.0,54.0,0.46,0.0,0.0,1.0,0.0,226.8506281375885,4.912659,,127.0,6.167945014293187e-05,6.167945014293187e-05,0.030625230684055118
ibm_brisbane,4.0,0.0,46.0,0.0,54.0,0.46,0.0,0.0,1.0,0.0,363.14365887641907,4.912659,,127.0,6.167945014293187e-05,6.167945014293187e-05,0.030625230684055118
ibm_brisbane,5.0,0.0,45.0,1.0,54.0,0.45,0.0,0.0,0.9782608695652174,0.0,546.810259103775,4.912659,,127.0,6.167945014293187e-05,6.167945014293187e-05,0.030625230684055118
ibm_brisbane,6.0,0.0,45.0,1.0,54.0,0.45,0.0,0.0,0.9782608695652174,0.0,780.280063867569,4.912659,,127.0,6.167945014293187e-05,6.167945014293187e-05,0.030625230684055118
ibm_brisbane,7.0,0.0,45.0,1.0,54.0,0.45,0.0,0.0,0.9782608695652174,0.0,1069.2477469444275,4.912659,,127.0,6.167945014293187e-05,6.167945014293187e-05,0.030625230684055118
ibm_brisbane,8.0,0.0,45.0,1.0,54.0,0.45,0.0,0.0,0.9782608695652174,0.0,1515.4904608726501,4.912659,,127.0,6.167945014293187e-05,6.167945014293187e-05,0.030625230684055118
ibm_brisbane,9.0,0.0,45.0,1.0,54.0,0.45,0.0,0.0,0.9782608695652174,0.0,1873.928691148758,4.912659,,127.0,6.167945014293187e-05,6.167945014293187e-05,0.030625230684055118
ibm_brisbane,10.0,0.0,45.0,1.0,54.0,0.45,0.0,0.0,0.9782608695652174,0.0,2462.58922290802,4.912659,,127.0,6.167945014293187e-05,6.167945014293187e-05,0.030625230684055118
ibm_brisbane,11.0,23.0,40.0,6.0,31.0,0.63,0.7931034482758621,0.42592592592592593,0.8695652173913043,0.5542168674698795,5829.376677036285,4.912659,,127.0,6.167945014293187e-05,6.167945014293187e-05,0.030625230684055118
