Hardware,Dimension,TP,TN,FP,FN,Accuracy,Precision,Sensitivity,Specificity,F1 Score,Elapsed Time (s),Usage (s),Estimated Usage (s),Num Qubits,Median T1,Median T2,Median Read Out Error,Samples
aer_simulator,2,9,52,0,43,0.5865384615384616,1.0,0.17307692307692307,1.0,0.29508196721311475,112.89262700080872,,,2,,,,518
aer_simulator,3,29,30,22,23,0.5673076923076923,0.5686274509803921,0.5576923076923077,0.5769230769230769,0.5631067961165048,193.61849284172058,,,3,,,,518
aer_simulator,4,29,38,14,23,0.6442307692307693,0.6744186046511628,0.5576923076923077,0.7307692307692307,0.6105263157894736,320.73233914375305,,,4,,,,518
aer_simulator,5,46,36,16,6,0.7884615384615384,0.7419354838709677,0.8846153846153846,0.6923076923076923,0.8070175438596492,485.44001603126526,,,5,,,,518
aer_simulator,6,28,31,21,24,0.5673076923076923,0.5714285714285714,0.5384615384615384,0.5961538461538461,0.5544554455445544,698.6773438453674,,,6,,,,518
aer_simulator,7,25,36,16,27,0.5865384615384616,0.6097560975609756,0.4807692307692308,0.6923076923076923,0.5376344086021505,976.2225887775421,,,7,,,,518
aer_simulator,8,22,45,7,30,0.6442307692307693,0.7586206896551724,0.4230769230769231,0.8653846153846154,0.5432098765432098,1421.088532924652,,,8,,,,518
aer_simulator,9,21,49,3,31,0.6730769230769231,0.875,0.40384615384615385,0.9423076923076923,0.5526315789473685,3907.6427161693573,,,9,,,,518
aer_simulator,10,20,50,2,32,0.6730769230769231,0.9090909090909091,0.38461538461538464,0.9615384615384616,0.5405405405405405,3223.302885055542,,,10,,,,518
aer_simulator,2,14,100,4,90,0.5480769230769231,0.7777777777777778,0.1346153846153846,0.9615384615384616,0.22950819672131148,469.47881412506104,,,2,,,,1036
aer_simulator,3,101,40,64,3,0.6778846153846154,0.6121212121212121,0.9711538461538461,0.38461538461538464,0.7509293680297398,816.9006040096283,,,3,,,,1036
aer_simulator,4,43,100,4,61,0.6875,0.9148936170212766,0.41346153846153844,0.9615384615384616,0.5695364238410596,1638.2823841571808,,,4,,,,1036
aer_simulator,5,43,100,4,61,0.6875,0.9148936170212766,0.41346153846153844,0.9615384615384616,0.5695364238410596,2192.2053399086,,,5,,,,1036
aer_simulator,6,71,80,24,33,0.7259615384615384,0.7473684210526316,0.6826923076923077,0.7692307692307693,0.71356783919598,3023.681044816971,,,6,,,,1036
aer_simulator,7,76,70,34,28,0.7019230769230769,0.6909090909090909,0.7307692307692307,0.6730769230769231,0.7102803738317757,4186.181484937668,,,7,,,,1036
aer_simulator,8,71,72,32,33,0.6875,0.6893203883495146,0.6826923076923077,0.6923076923076923,0.6859903381642513,15185.151440143585,,,8,,,,1036
