Hardware,Dimension,TP,TN,FP,FN,Accuracy,Precision,Sensitivity,Specificity,F1 Score,Elapsed Time (s),Usage (s),Estimated Usage (s),Num Qubits,Median T1,Median T2,Median Read Out Error
,1.0,0.0,46.0,0.0,54.0,0.46,0.0,0.0,1.0,0.0,0.005584001541137695,0.005584001541137695,,,,,
,2.0,0.0,46.0,0.0,54.0,0.46,0.0,0.0,1.0,0.0,0.0028820037841796875,0.0028820037841796875,,,,,
,3.0,0.0,45.0,1.0,54.0,0.45,0.0,0.0,0.9782608695652174,0.0,0.003016948699951172,0.003016948699951172,,,,,
,4.0,0.0,45.0,1.0,54.0,0.45,0.0,0.0,0.9782608695652174,0.0,0.0030660629272460938,0.0030660629272460938,,,,,
,5.0,0.0,45.0,1.0,54.0,0.45,0.0,0.0,0.9782608695652174,0.0,0.0029518604278564453,0.0029518604278564453,,,,,
,6.0,0.0,45.0,1.0,54.0,0.45,0.0,0.0,0.9782608695652174,0.0,0.0032088756561279297,0.0032088756561279297,,,,,
,7.0,0.0,45.0,1.0,54.0,0.45,0.0,0.0,0.9782608695652174,0.0,0.0031652450561523438,0.0031652450561523438,,,,,
,8.0,0.0,45.0,1.0,54.0,0.45,0.0,0.0,0.9782608695652174,0.0,0.0030384063720703125,0.0030384063720703125,,,,,
,9.0,0.0,45.0,1.0,54.0,0.45,0.0,0.0,0.9782608695652174,0.0,0.0031681060791015625,0.0031681060791015625,,,,,
,10.0,0.0,45.0,1.0,54.0,0.45,0.0,0.0,0.9782608695652174,0.0,0.003225088119506836,0.003225088119506836,,,,,
,11.0,0.0,45.0,1.0,54.0,0.45,0.0,0.0,0.9782608695652174,0.0,0.0035200119018554688,0.0035200119018554688,,,,,
,12.0,0.0,45.0,1.0,54.0,0.45,0.0,0.0,0.9782608695652174,0.0,0.0033681392669677734,0.0033681392669677734,,,,,
,13.0,0.0,45.0,1.0,54.0,0.45,0.0,0.0,0.9782608695652174,0.0,0.003545999526977539,0.003545999526977539,,,,,
,14.0,4.0,45.0,1.0,50.0,0.49,0.8,0.07407407407407407,0.9782608695652174,0.13559322033898305,0.0035109519958496094,0.0035109519958496094,,,,,
,15.0,9.0,45.0,1.0,45.0,0.54,0.9,0.16666666666666666,0.9782608695652174,0.28125,0.0037250518798828125,0.0037250518798828125,,,,,
,16.0,9.0,45.0,1.0,45.0,0.54,0.9,0.16666666666666666,0.9782608695652174,0.28125,0.003565073013305664,0.003565073013305664,,,,,
,17.0,9.0,45.0,1.0,45.0,0.54,0.9,0.16666666666666666,0.9782608695652174,0.28125,0.003637075424194336,0.003637075424194336,,,,,
,18.0,9.0,45.0,1.0,45.0,0.54,0.9,0.16666666666666666,0.9782608695652174,0.28125,0.0035707950592041016,0.0035707950592041016,,,,,
,19.0,9.0,45.0,1.0,45.0,0.54,0.9,0.16666666666666666,0.9782608695652174,0.28125,0.0037622451782226562,0.0037622451782226562,,,,,
,20.0,9.0,45.0,1.0,45.0,0.54,0.9,0.16666666666666666,0.9782608695652174,0.28125,0.0038471221923828125,0.0038471221923828125,,,,,
,21.0,9.0,45.0,1.0,45.0,0.54,0.9,0.16666666666666666,0.9782608695652174,0.28125,0.003695964813232422,0.003695964813232422,,,,,
,22.0,9.0,45.0,1.0,45.0,0.54,0.9,0.16666666666666666,0.9782608695652174,0.28125,0.0035381317138671875,0.0035381317138671875,,,,,
,23.0,9.0,45.0,1.0,45.0,0.54,0.9,0.16666666666666666,0.9782608695652174,0.28125,0.0035839080810546875,0.0035839080810546875,,,,,
,24.0,9.0,45.0,1.0,45.0,0.54,0.9,0.16666666666666666,0.9782608695652174,0.28125,0.0037300586700439453,0.0037300586700439453,,,,,
,25.0,9.0,45.0,1.0,45.0,0.54,0.9,0.16666666666666666,0.9782608695652174,0.28125,0.0037271976470947266,0.0037271976470947266,,,,,
,26.0,9.0,45.0,1.0,45.0,0.54,0.9,0.16666666666666666,0.9782608695652174,0.28125,0.003977775573730469,0.003977775573730469,,,,,
