Model,Fold,TP,TN,FP,FN,Accuracy,Precision,Sensitivity,Specificity,F1 Score,Elapsed Time (s),Usage (s),Estimated Usage (s),Num Qubits,Median T1,Median T2,Median Read Out Error
QCC_2D,1,1,49,1,49,0.5,0.5,0.5,0.98,0.35031185031185025,0.7724258899688721,0.7428434150785377,1.4985907000092227,5,84.95531026998489,75.30735398651157,0.024935142381473603
QCC_2D,2,0,50,0,50,0.5,0.25,0.5,1.0,0.33333333333333326,0.8034467697143555,0.7792475536191054,1.2513222911591655,7,63.41410977697439,70.52145308389704,0.02254300528256123
QCC_2D,3,6,50,0,44,0.56,0.7659574468085105,0.56,1.0,0.45436507936507936,0.9186222553253174,0.9572197169676986,1.5129750464143086,8,99.31910858144461,52.01538380662452,0.014524230260068794
QCC_2D,4,2,47,3,48,0.49,0.4473684210526316,0.49,0.94,0.36050156739811906,0.8483319282531738,0.9438895234704325,2.4340958774142094,9,99.5265952541909,68.10484501074565,0.039931072810175015
QCC_2D,5,5,46,4,45,0.51,0.5305250305250305,0.51,0.92,0.4109868974636375,0.7875709533691406,1.3481845491111624,2.4310119092422573,10,58.87860013158088,38.22398534531272,0.023471704443284273
QCC_2D,6,4,50,0,46,0.54,0.7604166666666667,0.54,1.0,0.4165398274987316,0.777108907699585,0.9493889833778235,2.2463235074891594,6,80.96756529681494,33.92803476800937,0.010037721701099614
QCC_2D,7,1,50,0,49,0.51,0.7525252525252526,0.51,1.0,0.3551783129359126,0.8250150680541992,0.6413155454187407,2.5085646660704324,6,99.51871046773186,60.981099109649655,0.03574096641496757
QCC_2D,8,0,50,0,50,0.5,0.25,0.5,1.0,0.33333333333333326,0.8915283679962158,0.5324718538808719,2.0400390925790477,5,94.43213346814775,33.614046034628494,0.04717122606743237
QCC_2D,9,3,48,2,47,0.51,0.5526315789473685,0.51,0.96,0.38557993730407525,0.8075718879699707,1.0969295843020002,1.6202944421816041,9,90.65716951496682,56.694592728764064,0.04116375773527082
QCC_2D,10,5,44,6,45,0.49,0.4744637385086823,0.49,0.88,0.39851397570468217,0.8715589046478271,0.5120477958134344,1.9841634107768302,11,78.91645513521522,61.353784181777115,0.014275335003481255
QCC_2D_retrained,3_retrained,4,49,1,46,0.53,0.6578947368421052,0.53,0.98,0.4106583072100314,0.8853130340576172,1.401538816233035,1.6547533602307984,4,64.64528733508645,40.766659225646904,0.03986905748804127
QCC_3D,1,11,23,27,39,0.34,0.33022071307300505,0.34,0.46,0.33035714285714285,1.4631829261779785,1.6207612558094757,1.925126616627599,10,51.75324745093594,22.235232836851765,0.011053893287756704
QCC_3D,2,5,26,24,45,0.31,0.26930548810101995,0.31,0.52,0.2781671722983576,1.460827112197876,0.9452003075777584,1.7085314426552516,8,63.577238433421954,46.95559351585035,0.036112534672569724
QCC_3D,3,25,40,10,25,0.65,0.6648351648351648,0.65,0.8,0.6419437340153453,1.379288911819458,0.8844397434419115,2.0570797207125757,9,53.707955288701534,73.48723238868496,0.04390724791848867
QCC_3D,4,15,37,13,35,0.52,0.5248015873015873,0.52,0.74,0.49558638083228246,1.3813917636871338,0.8634885953694822,2.357551967040858,4,54.74353563375899,79.81093327156519,0.020713796822356554
QCC_3D,5,14,19,31,36,0.33,0.3282828282828283,0.33,0.38,0.3283208020050125,1.4226388931274414,1.11273108332341,1.6974056216859568,9,84.96043387686885,58.687616147644974,0.026432370494973656
QCC_3D,6,21,42,8,29,0.63,0.6578436134045653,0.63,0.84,0.6129302228266554,1.386932134628296,1.630255851660962,2.050204796284488,11,73.60989193090876,63.617232123986,0.04997319685972343
QCC_3D,7,21,35,15,29,0.56,0.5651041666666667,0.56,0.7,0.551203590371277,1.4519407749176025,1.520237820138318,1.1162675820536572,6,95.29382110481004,78.90107035622293,0.024002852490998115
QCC_3D,8,19,35,15,31,0.54,0.5445632798573975,0.54,0.7,0.5279146141215106,1.4476580619812012,0.5509569819994263,2.6849154554215753,10,73.45830242836993,69.86763300306474,0.010619298365500613
QCC_3D,9,22,29,21,28,0.51,0.5101999184006529,0.51,0.58,0.5075871771681237,1.4563119411468506,1.812484242536632,2.533245330348972,4,98.46586016346683,39.12050922397194,0.026395365235010827
QCC_3D,10,23,24,26,27,0.47,0.46998799519807916,0.47,0.48,0.46994699469946993,1.414975881576538,1.3317688335364475,2.2004372221239388,9,63.68503147442979,30.481961085253907,0.02301619849318349
QCC_3D_retrained,3_retrained,5,26,24,45,0.31,0.26930548810101995,0.31,0.52,0.2781671722983576,1.3760173320770264,1.8455577743760267,2.803483352081284,10,95.03282753841998,54.21427787462289,0.024639856331597435
QCC_4D,1,20,37,13,30,0.57,0.5791497060153776,0.57,0.74,0.557203171661003,2.0650839805603027,0.9706028882669808,1.8851780466489174,6,88.30608756725651,24.10085709138147,0.04305595094978534
QCC_4D,2,20,39,11,30,0.59,0.6051893408134642,0.59,0.78,0.5746446726838883,2.138244152069092,0.8808260164416022,2.527263831094268,6,63.4605028937811,46.916795169780315,0.04532532249309832
QCC_4D,3,11,43,7,39,0.54,0.5677506775067751,0.54,0.86,0.48752228163992867,1.9850730895996094,1.102445312499153,2.6599150183123648,7,99.92801242425344,45.98456615520756,0.038118626541785744
