Dimension,TP,TN,FP,FN,Accuracy,Precision,Sensitivity,Specificity,F1 Score,Elapsed Time (s),Usage (s),Samples
2,50,49,4,2,0.9428571428571428,0.9259259259259259,0.9615384615384616,0.9245283018867925,0.9433962264150944,173.0768563747406,173.0768563747406,521
3,50,49,4,2,0.9428571428571428,0.9259259259259259,0.9615384615384616,0.9245283018867925,0.9433962264150944,323.871874332428,323.871874332428,521
4,51,48,5,1,0.9428571428571428,0.9107142857142857,0.9807692307692307,0.9056603773584906,0.9444444444444444,514.7104935646057,514.7104935646057,521
5,51,48,5,1,0.9428571428571428,0.9107142857142857,0.9807692307692307,0.9056603773584906,0.9444444444444444,778.4856379032135,778.4856379032135,521
6,51,49,4,1,0.9523809523809523,0.9272727272727272,0.9807692307692307,0.9245283018867925,0.9532710280373831,1092.1194813251495,1092.1194813251495,521
7,50,50,3,2,0.9523809523809523,0.9433962264150944,0.9615384615384616,0.9433962264150944,0.9523809523809524,1526.967925310135,1526.967925310135,521
8,50,50,3,2,0.9523809523809523,0.9433962264150944,0.9615384615384616,0.9433962264150944,0.9523809523809524,2087.053936958313,2087.053936958313,521
9,50,49,4,2,0.9428571428571428,0.9259259259259259,0.9615384615384616,0.9245283018867925,0.9433962264150944,2896.2866513729095,2896.2866513729095,521
10,50,50,3,2,0.9523809523809523,0.9433962264150944,0.9615384615384616,0.9433962264150944,0.9523809523809524,4196.511968374252,4196.511968374252,521
2,104,57,48,1,0.7666666666666667,0.6842105263157895,0.9904761904761905,0.5428571428571428,0.8093385214007782,710.6350882053375,710.6350882053375,1042
3,98,95,10,7,0.919047619047619,0.9074074074074074,0.9333333333333333,0.9047619047619048,0.9201877934272301,1272.811503648758,1272.811503648758,1042
4,101,94,11,4,0.9285714285714286,0.9017857142857143,0.9619047619047619,0.8952380952380953,0.9308755760368663,2039.548006772995,2039.548006772995,1042
5,100,94,11,5,0.9238095238095239,0.9009009009009009,0.9523809523809523,0.8952380952380953,0.925925925925926,3105.9825971126556,3105.9825971126556,1042
6,103,92,13,2,0.9285714285714286,0.8879310344827587,0.9809523809523809,0.8761904761904762,0.9321266968325793,4350.970614671707,4350.970614671707,1042
7,100,95,10,5,0.9285714285714286,0.9090909090909091,0.9523809523809523,0.9047619047619048,0.9302325581395349,6034.965409994125,6034.965409994125,1042
8,100,95,10,5,0.9285714285714286,0.9090909090909091,0.9523809523809523,0.9047619047619048,0.9302325581395349,8305.503416538239,8305.503416538239,1042
9,101,97,8,4,0.9428571428571428,0.926605504587156,0.9619047619047619,0.9238095238095239,0.9439252336448597,11560.435394525528,11560.435394525528,1042
10,102,96,9,3,0.9428571428571428,0.918918918918919,0.9714285714285714,0.9142857142857143,0.9444444444444445,16947.554041147232,16947.554041147232,1042
2,145,136,21,12,0.8949044585987261,0.8734939759036144,0.9235668789808917,0.8662420382165605,0.8978328173374612,1655.1406228542328,1655.1406228542328,1563
3,148,135,22,9,0.9012738853503185,0.8705882352941177,0.9426751592356688,0.8598726114649682,0.9051987767584098,2886.5851624011993,2886.5851624011993,1563
4,150,135,22,7,0.9076433121019108,0.872093023255814,0.9554140127388535,0.8598726114649682,0.9118541033434651,4833.488797903061,4833.488797903061,1563
5,150,135,22,7,0.9076433121019108,0.872093023255814,0.9554140127388535,0.8598726114649682,0.9118541033434651,6959.866119146347,6959.866119146347,1563
6,149,139,18,8,0.9171974522292994,0.8922155688622755,0.9490445859872612,0.8853503184713376,0.9197530864197532,9855.854177474976,9855.854177474976,1563
7,148,139,18,9,0.9140127388535032,0.891566265060241,0.9426751592356688,0.8853503184713376,0.9164086687306501,13522.84094285965,13522.84094285965,1563
8,148,145,12,9,0.9331210191082803,0.925,0.9426751592356688,0.9235668789808917,0.9337539432176656,18925.742394208908,18925.742394208908,1563
9,148,145,12,9,0.9331210191082803,0.925,0.9426751592356688,0.9235668789808917,0.9337539432176656,26257.145436763763,26257.145436763763,1563
10,143,147,10,14,0.9235668789808917,0.934640522875817,0.910828025477707,0.9363057324840764,0.9225806451612903,38595.3979268074,38595.3979268074,1563
2,187,182,27,22,0.8827751196172249,0.8738317757009346,0.8947368421052632,0.8708133971291866,0.884160756501182,2957.5525681972504,2957.5525681972504,2084
3,193,179,30,16,0.8899521531100478,0.8654708520179372,0.9234449760765551,0.8564593301435407,0.8935185185185184,5183.647689819336,5183.647689819336,2084
4,201,178,31,8,0.9066985645933014,0.8663793103448276,0.9617224880382775,0.8516746411483254,0.9115646258503401,8295.612486362457,8295.612486362457,2084
5,201,179,30,8,0.9090909090909091,0.8701298701298701,0.9617224880382775,0.8564593301435407,0.9136363636363636,12355.164851427078,12355.164851427078,2084
6,200,183,26,9,0.916267942583732,0.8849557522123894,0.9569377990430622,0.8755980861244019,0.9195402298850573,17213.72629070282,17213.72629070282,2084
7,200,183,26,9,0.916267942583732,0.8849557522123894,0.9569377990430622,0.8755980861244019,0.9195402298850573,24278.759469985962,24278.759469985962,2084
8,198,187,22,11,0.9210526315789473,0.9,0.9473684210526315,0.8947368421052632,0.9230769230769231,33672.306648254395,33672.306648254395,2084
